ReviewText,Sentiment
"I loved this movie, it was fantastic!",positive
"Absolutely terrible, a complete waste of time.",negative
"It was not okay, not great but not bad either.",neutral
Amazing performance by the lead actor.,positive
The plot was confusing and slow.,negative
"A decent film, worth watching if you have time.",positive
"Highly recommend this, truly inspiring!",positive
"I didn't like it at all, very disappointing.",negative
The soundtrack was the best part.,positive
"Could have been much better, felt unfinished.",negative
"An average movie, nothing special.",negative
One of the best films I've seen this year!,positive
The ending ruined the whole experience.,negative
"It was fine, just forgettable.",negative
Visually stunning and captivating story.,positive
